date,season,totalRainMM,totalPrecipMM
2010-01-01,winter,0.0,4.9
2010-01-02,winter,0.0,4.1
2010-01-03,winter,0.0,1.1
2010-01-04,winter,0.0,0.5
2010-01-05,winter,0.0,0.0
2010-01-06,winter,0.2,0.6
2010-01-07,winter,0.0,6.15
2010-01-08,winter,0.0,1.2999999999999998
2010-01-09,winter,0.0,0.0
2010-01-10,winter,0.0,0.0
2010-01-11,winter,0.0,1.4500000000000002
2010-01-12,winter,0.0,0.0
2010-01-13,winter,0.0,0.0
2010-01-14,winter,0.2,0.1
2010-01-15,winter,,0.0
2010-01-16,winter,0.0,0.0
2010-01-17,winter,0.0,0.0
2010-01-18,winter,0.3,0.15
2010-01-19,winter,0.0,0.7000000000000001
2010-01-20,winter,0.0,0.0
2010-01-21,winter,0.0,0.0
2010-01-22,winter,0.0,0.0
2010-01-23,winter,0.0,0.0
2010-01-24,winter,11.7,10.9
2010-01-25,winter,1.0,2.6
2010-01-26,winter,0.0,1.35
2010-01-27,winter,0.0,0.4
2010-01-28,winter,0.0,1.3
2010-01-29,winter,0.0,1.0
2010-01-30,winter,0.0,0.0
2010-01-31,winter,0.0,0.4
2010-02-01,winter,0.0,0.0
2010-02-02,winter,0.0,2.4
2010-02-03,winter,0.0,1.2
2010-02-04,winter,0.0,0.0
2010-02-05,winter,0.0,0.0
2010-02-06,winter,0.0,0.0
2010-02-07,winter,0.0,0.0
2010-02-08,winter,,0.0
2010-02-09,winter,0.0,2.95
2010-02-10,winter,0.0,2.15
2010-02-11,winter,,0.0
2010-02-12,winter,0.0,0.1
2010-02-13,winter,0.0,0.65
2010-02-14,winter,0.0,0.75
2010-02-15,winter,0.0,0.0
2010-02-16,winter,0.0,0.1
2010-02-17,winter,0.0,0.6
2010-02-18,winter,0.0,0.0
2010-02-19,winter,0.0,0.0
2010-02-20,winter,0.0,0.0
2010-02-21,winter,0.0,0.0
2010-02-22,winter,0.0,11.3
2010-02-23,winter,0.0,0.95
2010-02-24,winter,0.0,0.25
2010-02-25,winter,0.0,3.65
2010-02-26,winter,0.0,2.7
2010-02-27,winter,0.0,3.9
2010-02-28,winter,0.0,0.0
2010-03-01,spring,0.0,0.0
2010-03-02,spring,0.0,0.0
2010-03-03,spring,0.0,0.0
2010-03-04,spring,0.0,0.0
2010-03-05,spring,0.0,0.0
2010-03-06,spring,0.0,0.0
2010-03-07,spring,0.0,0.0
2010-03-08,spring,0.0,0.0
2010-03-09,spring,0.0,0.0
2010-03-10,spring,0.0,0.0
2010-03-11,spring,0.0,0.0
2010-03-12,spring,3.2,2.9000000000000004
2010-03-13,spring,16.0,15.55
2010-03-14,spring,1.9,2.6
2010-03-15,spring,0.0,0.55
2010-03-16,spring,0.0,0.0
2010-03-17,spring,0.0,0.0
2010-03-18,spring,0.0,0.0
2010-03-19,spring,0.0,0.0
2010-03-20,spring,,0.0
2010-03-21,spring,0.0,0.0
2010-03-22,spring,4.4,4.1
2010-03-23,spring,0.0,0.0
2010-03-24,spring,0.0,0.0
2010-03-25,spring,,0.0
2010-03-26,spring,0.0,0.0
2010-03-27,spring,0.0,0.0
2010-03-28,spring,9.0,8.45
2010-03-29,spring,0.0,0.0
2010-03-30,spring,0.0,0.0
2010-03-31,spring,0.0,0.5
2010-04-01,spring,0.0,0.0
2010-04-02,spring,0.0,0.0
2010-04-03,spring,,0.0
2010-04-04,spring,1.0,0.5
2010-04-05,spring,15.6,7.8
2010-04-06,spring,6.0,14.65
2010-04-07,spring,30.0,26.65
2010-04-08,spring,7.2,10.15
2010-04-09,spring,0.0,0.3
2010-04-10,spring,0.0,0.0
2010-04-11,spring,0.0,0.0
2010-04-12,spring,3.7,1.85
2010-04-13,spring,0.0,1.4
2010-04-14,spring,0.0,0.0
2010-04-15,spring,,0.0
2010-04-16,spring,,0.0
2010-04-17,spring,,2.1
2010-04-18,spring,,0.0
2010-04-19,spring,,0.0
2010-04-20,spring,,0.0
2010-04-21,spring,,0.0
2010-04-22,spring,,0.0
2010-04-23,spring,,0.0
2010-04-24,spring,,0.0
2010-04-25,spring,,11.4
2010-04-26,spring,,0.0
2010-04-27,spring,,0.0
2010-04-28,spring,,0.0
2010-04-29,spring,,0.0
2010-04-30,spring,,0.0
2010-05-01,spring,,2.2
2010-05-02,spring,,0.0
2010-05-03,spring,,3.9
2010-05-04,spring,,1.1
2010-05-05,spring,,5.9
2010-05-06,spring,,0.0
2010-05-07,spring,,15.2
2010-05-08,spring,,3.7
2010-05-09,spring,,0.0
2010-05-10,spring,,0.0
2010-05-11,spring,,13.8
2010-05-12,spring,,0.0
2010-05-13,spring,,28.3
2010-05-14,spring,,0.0
2010-05-15,spring,,0.0
2010-05-16,spring,,0.0
2010-05-17,spring,,0.0
2010-05-18,spring,,0.0
2010-05-19,spring,,0.0
2010-05-20,spring,,0.0
2010-05-21,spring,,0.0
2010-05-22,spring,,9.9
2010-05-23,spring,,0.0
2010-05-24,spring,,0.0
2010-05-25,spring,,0.0
2010-05-26,spring,,0.0
2010-05-27,spring,,0.0
2010-05-28,spring,,1.2
2010-05-29,spring,,0.0
2010-05-30,spring,,0.0
2010-05-31,spring,,29.0
2010-06-01,summer,,13.8
2010-06-02,summer,,6.8
2010-06-03,summer,,16.5
2010-06-04,summer,,21.2
2010-06-05,summer,,7.4
2010-06-06,summer,,22.4
2010-06-07,summer,,0.0
2010-06-08,summer,,0.0
2010-06-09,summer,,6.1
2010-06-10,summer,,0.0
2010-06-11,summer,,0.0
2010-06-12,summer,,0.0
2010-06-13,summer,,0.0
2010-06-14,summer,,0.0
2010-06-15,summer,,0.0
2010-06-16,summer,,14.9
2010-06-17,summer,,0.0
2010-06-18,summer,,0.0
2010-06-19,summer,,0.0
2010-06-20,summer,,0.0
2010-06-21,summer,,0.0
2010-06-22,summer,,11.2
2010-06-23,summer,,1.5
2010-06-24,summer,,0.0
2010-06-25,summer,,0.0
2010-06-26,summer,,0.0
2010-06-27,summer,,10.9
2010-06-28,summer,,0.0
2010-06-29,summer,,0.0
2010-06-30,summer,,0.0
2010-07-01,summer,,0.0
2010-07-02,summer,,0.0
2010-07-03,summer,,0.0
2010-07-04,summer,,0.0
2010-07-05,summer,,0.0
2010-07-06,summer,,0.0
2010-07-07,summer,,31.8
2010-07-08,summer,,0.0
2010-07-09,summer,,8.4
2010-07-10,summer,,0.0
2010-07-11,summer,,0.0
2010-07-12,summer,,12.0
2010-07-13,summer,,0.0
2010-07-14,summer,,0.0
2010-07-15,summer,,18.2
2010-07-16,summer,,0.0
2010-07-17,summer,,0.0
2010-07-18,summer,,7.6
2010-07-19,summer,,0.0
2010-07-20,summer,,0.0
2010-07-21,summer,,4.5
2010-07-22,summer,,3.7
2010-07-23,summer,,5.0
2010-07-24,summer,,10.2
2010-07-25,summer,,0.0
2010-07-26,summer,,0.0
2010-07-27,summer,,0.0
2010-07-28,summer,,7.4
2010-07-29,summer,,0.0
2010-07-30,summer,,0.0
2010-07-31,summer,,1.1
2010-08-01,summer,,0.0
2010-08-02,summer,,0.0
2010-08-03,summer,,0.0
2010-08-04,summer,,1.9
2010-08-05,summer,,0.0
2010-08-06,summer,,0.0
2010-08-07,summer,,0.0
2010-08-08,summer,,0.0
2010-08-09,summer,,0.8
2010-08-10,summer,,0.0
2010-08-11,summer,,0.0
2010-08-12,summer,,0.0
2010-08-13,summer,,0.0
2010-08-14,summer,,0.0
2010-08-15,summer,,0.0
2010-08-16,summer,,0.0
2010-08-17,summer,,0.0
2010-08-18,summer,,0.0
2010-08-19,summer,,0.0
2010-08-20,summer,,0.0
2010-08-21,summer,,34.7
2010-08-22,summer,,2.1
2010-08-23,summer,,0.0
2010-08-24,summer,,0.0
2010-08-25,summer,,0.0
2010-08-26,summer,,0.0
2010-08-27,summer,,0.0
2010-08-28,summer,,0.0
2010-08-29,summer,,0.0
2010-08-30,summer,,0.0
2010-08-31,summer,,0.0
2010-09-01,fall,,0.0
2010-09-02,fall,,9.2
2010-09-03,fall,,35.8
2010-09-04,fall,,0.8
2010-09-05,fall,,0.6
2010-09-06,fall,,0.0
2010-09-07,fall,,0.0
2010-09-08,fall,,0.8
2010-09-09,fall,,0.7
2010-09-10,fall,,0.0
2010-09-11,fall,,5.5
2010-09-12,fall,,0.0
2010-09-13,fall,,0.0
2010-09-14,fall,,0.0
2010-09-15,fall,,0.0
2010-09-16,fall,,19.7
2010-09-17,fall,,0.0
2010-09-18,fall,,0.0
2010-09-19,fall,,0.0
2010-09-20,fall,,0.6
2010-09-21,fall,,0.0
2010-09-22,fall,,6.0
2010-09-23,fall,,0.0
2010-09-24,fall,,0.0
2010-09-25,fall,,2.0
2010-09-26,fall,,0.0
2010-09-27,fall,,1.5
2010-09-28,fall,,24.6
2010-09-29,fall,,0.6
2010-09-30,fall,,0.0
2010-10-01,fall,,0.0
2010-10-02,fall,,11.4
2010-10-03,fall,,2.3
2010-10-04,fall,,0.6
2010-10-05,fall,,6.8
2010-10-06,fall,,0.8
2010-10-07,fall,,0.7
2010-10-08,fall,,0.0
2010-10-09,fall,,0.0
2010-10-10,fall,,0.0
2010-10-11,fall,,8.4
2010-10-12,fall,,0.0
2010-10-13,fall,,5.7
2010-10-14,fall,,19.2
2010-10-15,fall,,0.0
2010-10-16,fall,,0.0
2010-10-17,fall,,0.0
2010-10-18,fall,,0.0
2010-10-19,fall,,0.0
2010-10-20,fall,,9.5
2010-10-21,fall,,8.5
2010-10-22,fall,,1.3
2010-10-23,fall,,0.8
2010-10-24,fall,,0.8
2010-10-25,fall,,0.0
2010-10-26,fall,,7.5
2010-10-27,fall,,0.6
2010-10-28,fall,,0.0
2010-10-29,fall,,3.0
2010-10-30,fall,,0.0
2010-10-31,fall,,0.0
2010-11-01,fall,0.0,0.0
2010-11-02,fall,0.0,0.0
2010-11-03,fall,0.3,0.15
2010-11-04,fall,1.2,0.8999999999999999
2010-11-05,fall,0.6,0.3
2010-11-06,fall,0.0,0.3
2010-11-07,fall,0.0,0.0
2010-11-08,fall,0.0,0.0
2010-11-09,fall,0.0,0.0
2010-11-10,fall,0.0,0.0
2010-11-11,fall,0.0,0.0
2010-11-12,fall,0.0,0.0
2010-11-13,fall,1.1,0.55
2010-11-14,fall,0.0,0.3
2010-11-15,fall,0.0,0.0
2010-11-16,fall,16.1,13.45
2010-11-17,fall,3.5,3.85
2010-11-18,fall,4.4,5.1
2010-11-19,fall,0.0,0.0
2010-11-20,fall,0.0,0.0
2010-11-21,fall,,0.0
2010-11-22,fall,25.4,18.75
2010-11-23,fall,0.0,5.95
2010-11-24,fall,0.6,0.3
2010-11-25,fall,13.4,13.4
2010-11-26,fall,0.0,0.1
2010-11-27,fall,0.0,0.7
2010-11-28,fall,0.0,0.0
2010-11-29,fall,13.4,6.7
2010-11-30,fall,13.4,18.9
2010-12-01,winter,0.0,1.0499999999999998
2010-12-02,winter,0.0,0.55
2010-12-03,winter,0.0,1.5499999999999998
2010-12-04,winter,0.0,0.6
2010-12-05,winter,0.0,18.1
2010-12-06,winter,0.0,24.5
2010-12-07,winter,0.0,9.85
2010-12-08,winter,0.0,2.9000000000000004
2010-12-09,winter,0.0,1.35
2010-12-10,winter,0.0,1.25
2010-12-11,winter,0.0,0.7
2010-12-12,winter,0.0,15.7
2010-12-13,winter,0.0,0.0
2010-12-14,winter,0.0,8.1
2010-12-15,winter,0.0,1.9
2010-12-16,winter,0.0,0.0
2010-12-17,winter,0.0,0.0
2010-12-18,winter,0.0,0.0
2010-12-19,winter,0.0,0.2
2010-12-20,winter,0.0,0.0
2010-12-21,winter,0.0,0.0
2010-12-22,winter,0.0,0.6
2010-12-23,winter,0.2,0.2
2010-12-24,winter,0.0,0.0
2010-12-25,winter,0.0,0.0
2010-12-26,winter,0.0,0.0
2010-12-27,winter,0.0,0.0
2010-12-28,winter,0.0,0.0
2010-12-29,winter,0.0,0.0
2010-12-30,winter,,0.7
2010-12-31,winter,7.7,4.65
2011-01-01,winter,12.5,14.6
2011-01-02,winter,0.0,0.0
2011-01-03,winter,0.0,1.1
2011-01-04,winter,0.0,3.45
2011-01-05,winter,0.0,0.3
2011-01-06,winter,0.0,2.85
2011-01-07,winter,0.0,0.0
2011-01-08,winter,0.0,2.2
2011-01-09,winter,0.0,1.75
2011-01-10,winter,0.0,0.0
2011-01-11,winter,0.0,4.95
2011-01-12,winter,0.0,1.7000000000000002
2011-01-13,winter,0.0,0.7
2011-01-14,winter,0.0,2.2
2011-01-15,winter,0.0,4.35
2011-01-16,winter,0.0,0.7
2011-01-17,winter,0.0,0.0
2011-01-18,winter,3.0,2.75
2011-01-19,winter,0.0,0.2
2011-01-20,winter,0.0,2.75
2011-01-21,winter,0.0,0.85
2011-01-22,winter,0.0,0.8999999999999999
2011-01-23,winter,0.0,0.0
2011-01-24,winter,,1.7
2011-01-25,winter,0.0,0.6
2011-01-26,winter,0.0,0.2
2011-01-27,winter,0.0,0.9
2011-01-28,winter,0.0,0.85
2011-01-29,winter,0.0,3.1
2011-01-30,winter,0.0,0.0
2011-01-31,winter,0.0,1.5
2011-02-01,winter,0.0,9.35
2011-02-02,winter,0.0,6.45
2011-02-03,winter,0.0,0.0
2011-02-04,winter,0.0,0.3
2011-02-05,winter,0.0,12.15
2011-02-06,winter,0.0,1.2000000000000002
2011-02-07,winter,0.0,0.6
2011-02-08,winter,0.0,1.7
2011-02-09,winter,0.0,0.35
2011-02-10,winter,0.0,1.7
2011-02-11,winter,0.0,1.6
2011-02-12,winter,0.0,3.45
2011-02-13,winter,0.0,1.9
2011-02-14,winter,,0.0
2011-02-15,winter,0.0,0.0
2011-02-16,winter,0.7,0.35
2011-02-17,winter,0.0,0.35
2011-02-18,winter,0.0,0.0
2011-02-19,winter,0.0,0.0
2011-02-20,winter,0.0,10.05
2011-02-21,winter,0.0,2.3
2011-02-22,winter,0.0,0.0
2011-02-23,winter,0.0,1.65
2011-02-24,winter,0.0,3.6
2011-02-25,winter,0.0,1.95
2011-02-26,winter,0.0,4.3
2011-02-27,winter,17.4,9.0
2011-02-28,winter,0.5,9.25
2011-03-01,spring,0.0,0.0
2011-03-02,spring,0.0,0.7
2011-03-03,spring,0.0,0.95
2011-03-04,spring,17.2,9.95
2011-03-05,spring,11.6,24.6
2011-03-06,spring,0.0,1.15
2011-03-07,spring,0.0,0.0
2011-03-08,spring,0.0,0.0
2011-03-09,spring,20.4,18.65
2011-03-10,spring,8.4,15.25
2011-03-11,spring,0.0,13.85
2011-03-12,spring,0.3,0.75
2011-03-13,spring,0.0,0.6
2011-03-14,spring,0.0,0.0
2011-03-15,spring,3.0,3.05
2011-03-16,spring,1.2,1.35
2011-03-17,spring,0.0,0.0
2011-03-18,spring,0.0,0.0
2011-03-19,spring,0.0,0.0
2011-03-20,spring,11.8,8.350000000000001
2011-03-21,spring,0.0,5.0
2011-03-22,spring,0.8,7.4
2011-03-23,spring,0.0,4.1
2011-03-24,spring,0.0,0.0
2011-03-25,spring,0.0,0.0
2011-03-26,spring,0.0,0.0
2011-03-27,spring,0.0,0.3
2011-03-28,spring,0.0,0.0
2011-03-29,spring,0.0,0.0
2011-03-30,spring,0.0,0.0
2011-03-31,spring,0.0,0.0
2011-04-01,spring,0.0,0.0
2011-04-02,spring,0.0,0.0
2011-04-03,spring,4.5,10.75
2011-04-04,spring,8.7,12.0
2011-04-05,spring,0.0,0.0
2011-04-06,spring,5.7,5.7
2011-04-07,spring,0.0,0.0
2011-04-08,spring,0.0,0.0
2011-04-09,spring,0.0,0.0
2011-04-10,spring,0.0,0.0
2011-04-11,spring,1.0,0.85
2011-04-12,spring,0.0,0.0
2011-04-13,spring,0.0,0.0
2011-04-14,spring,0.0,0.0
2011-04-15,spring,,0.0
2011-04-16,spring,,12.4
2011-04-17,spring,,2.2
2011-04-18,spring,,3.4
2011-04-19,spring,,3.5
2011-04-20,spring,,8.1
2011-04-21,spring,,0.6
2011-04-22,spring,,1.1
2011-04-23,spring,,18.1
2011-04-24,spring,,0.0
2011-04-25,spring,,7.4
2011-04-26,spring,,4.5
2011-04-27,spring,,11.4
2011-04-28,spring,,3.7
2011-04-29,spring,,1.5
2011-04-30,spring,,0.0
2011-05-01,spring,,6.3
2011-05-02,spring,,0.0
2011-05-03,spring,,8.0
2011-05-04,spring,,0.6
2011-05-05,spring,,0.0
2011-05-06,spring,,11.0
2011-05-07,spring,,0.6
2011-05-08,spring,,0.0
2011-05-09,spring,,0.0
2011-05-10,spring,,0.0
2011-05-11,spring,,0.0
2011-05-12,spring,,0.0
2011-05-13,spring,,0.0
2011-05-14,spring,,13.6
2011-05-15,spring,,14.8
2011-05-16,spring,,6.8
2011-05-17,spring,,2.3
2011-05-18,spring,,7.0
2011-05-19,spring,,0.0
2011-05-20,spring,,7.5
2011-05-21,spring,,0.0
2011-05-22,spring,,2.6
2011-05-23,spring,,3.7
2011-05-24,spring,,0.0
2011-05-25,spring,,14.6
2011-05-26,spring,,7.2
2011-05-27,spring,,0.0
2011-05-28,spring,,1.0
2011-05-29,spring,,19.5
2011-05-30,spring,,0.0
2011-05-31,spring,,0.0
2011-06-01,summer,,0.0
2011-06-02,summer,,0.0
2011-06-03,summer,,0.0
2011-06-04,summer,,5.6
2011-06-05,summer,,0.0
2011-06-06,summer,,0.0
2011-06-07,summer,,11.5
2011-06-08,summer,,0.0
2011-06-09,summer,,0.0
2011-06-10,summer,,0.0
2011-06-11,summer,,0.0
2011-06-12,summer,,0.0
2011-06-13,summer,,0.0
2011-06-14,summer,,0.0
2011-06-15,summer,,0.0
2011-06-16,summer,,4.6
2011-06-17,summer,,0.0
2011-06-18,summer,,0.0
2011-06-19,summer,,0.0
2011-06-20,summer,,0.0
2011-06-21,summer,,11.3
2011-06-22,summer,,21.4
2011-06-23,summer,,3.2
2011-06-24,summer,,4.1
2011-06-25,summer,,0.8
2011-06-26,summer,,0.0
2011-06-27,summer,,0.0
2011-06-28,summer,,0.0
2011-06-29,summer,,0.0
2011-06-30,summer,,0.0
2011-07-01,summer,,0.0
2011-07-02,summer,,4.7
2011-07-03,summer,,0.0
2011-07-04,summer,,0.0
2011-07-05,summer,,0.0
2011-07-06,summer,,0.0
2011-07-07,summer,,0.0
2011-07-08,summer,,0.0
2011-07-09,summer,,0.0
2011-07-10,summer,,0.0
2011-07-11,summer,,0.0
2011-07-12,summer,,0.0
2011-07-13,summer,,0.0
2011-07-14,summer,,0.0
2011-07-15,summer,,0.0
2011-07-16,summer,,0.0
2011-07-17,summer,,0.0
2011-07-18,summer,,0.0
2011-07-19,summer,,0.0
2011-07-20,summer,,0.0
2011-07-21,summer,,0.0
2011-07-22,summer,,0.0
2011-07-23,summer,,14.1
2011-07-24,summer,,0.0
2011-07-25,summer,,0.0
2011-07-26,summer,,0.6
2011-07-27,summer,,0.0
2011-07-28,summer,,15.9
2011-07-29,summer,,9.4
2011-07-30,summer,,0.0
2011-07-31,summer,,1.4
2011-08-01,summer,,0.0
2011-08-02,summer,,0.9
2011-08-03,summer,,0.7
2011-08-04,summer,,0.0
2011-08-05,summer,,0.0
2011-08-06,summer,,0.0
2011-08-07,summer,,4.7
2011-08-08,summer,,0.0
2011-08-09,summer,,44.9
2011-08-10,summer,,0.0
2011-08-11,summer,,0.6
2011-08-12,summer,,0.0
2011-08-13,summer,,0.0
2011-08-14,summer,,7.7
2011-08-15,summer,,1.2
2011-08-16,summer,,0.0
2011-08-17,summer,,0.0
2011-08-18,summer,,11.9
2011-08-19,summer,,0.0
2011-08-20,summer,,10.9
2011-08-21,summer,,0.0
2011-08-22,summer,,0.6
2011-08-23,summer,,0.0
2011-08-24,summer,,38.2
2011-08-25,summer,,0.0
2011-08-26,summer,,0.0
2011-08-27,summer,,0.0
2011-08-28,summer,,0.0
2011-08-29,summer,,0.0
2011-08-30,summer,,0.0
2011-08-31,summer,,0.0
2011-09-01,fall,,8.4
2011-09-02,fall,,0.0
2011-09-03,fall,,1.0
2011-09-04,fall,,10.5
2011-09-05,fall,,0.0
2011-09-06,fall,,0.0
2011-09-07,fall,,1.8
2011-09-08,fall,,0.7
2011-09-09,fall,,0.0
2011-09-10,fall,,0.0
2011-09-11,fall,,2.5
2011-09-12,fall,,8.5
2011-09-13,fall,,0.0
2011-09-14,fall,,5.7
2011-09-15,fall,,1.9
2011-09-16,fall,,0.0
2011-09-17,fall,,0.0
2011-09-18,fall,,0.0
2011-09-19,fall,,26.9
2011-09-20,fall,,0.0
2011-09-21,fall,,1.3
2011-09-22,fall,,0.0
2011-09-23,fall,,15.9
2011-09-24,fall,,0.0
2011-09-25,fall,,0.0
2011-09-26,fall,,33.5
2011-09-27,fall,,4.1
2011-09-28,fall,,0.0
2011-09-29,fall,,6.0
2011-09-30,fall,,7.8
2011-10-01,fall,,0.0
2011-10-02,fall,,4.1
2011-10-03,fall,,4.8
2011-10-04,fall,,0.0
2011-10-05,fall,,0.0
2011-10-06,fall,,0.0
2011-10-07,fall,,0.0
2011-10-08,fall,,0.0
2011-10-09,fall,,0.0
2011-10-10,fall,,0.0
2011-10-11,fall,,0.0
2011-10-12,fall,,11.2
2011-10-13,fall,,11.9
2011-10-14,fall,,19.6
2011-10-15,fall,,3.9
2011-10-16,fall,,1.0
2011-10-17,fall,,0.0
2011-10-18,fall,,0.8
2011-10-19,fall,,22.4
2011-10-20,fall,,11.5
2011-10-21,fall,,0.0
2011-10-22,fall,,0.0
2011-10-23,fall,,0.0
2011-10-24,fall,,
2011-10-25,fall,,4.8
2011-10-26,fall,,1.9
2011-10-27,fall,,0.0
2011-10-28,fall,,0.0
2011-10-29,fall,,0.0
2011-10-30,fall,,0.0
2011-10-31,fall,,1.7
2011-11-01,fall,0.0,0.1
2011-11-02,fall,0.0,0.0
2011-11-03,fall,0.0,0.0
2011-11-04,fall,0.0,0.0
2011-11-05,fall,0.0,0.0
2011-11-06,fall,0.0,0.0
2011-11-07,fall,0.2,0.1
2011-11-08,fall,,0.0
2011-11-09,fall,4.4,5.45
2011-11-10,fall,0.0,0.0
2011-11-11,fall,0.0,0.4
2011-11-12,fall,0.0,0.0
2011-11-13,fall,0.0,0.0
2011-11-14,fall,9.4,9.6
2011-11-15,fall,0.0,0.0
