date,weeklyRainDays,month,year,season
2010-01-03,3,1,2010,winter
2010-01-10,4,1,2010,winter
2010-01-17,1,1,2010,winter
2010-01-24,2,1,2010,winter
2010-01-31,6,1,2010,winter
2010-02-07,2,2,2010,winter
2010-02-14,4,2,2010,winter
2010-02-21,1,2,2010,winter
2010-02-28,6,2,2010,winter
2010-03-07,0,3,2010,spring
2010-03-14,3,3,2010,spring
2010-03-21,1,3,2010,spring
2010-03-28,2,3,2010,spring
2010-04-04,2,4,2010,spring
2010-04-11,5,4,2010,spring
2010-04-18,3,4,2010,spring
2010-04-25,1,4,2010,spring
2010-05-02,1,5,2010,spring
2010-05-09,5,5,2010,spring
2010-05-16,2,5,2010,spring
2010-05-23,1,5,2010,spring
2010-05-30,1,5,2010,spring
2010-06-06,7,6,2010,summer
2010-06-13,1,6,2010,summer
2010-06-20,1,6,2010,summer
2010-06-27,3,6,2010,summer
2010-07-04,0,7,2010,summer
2010-07-11,2,7,2010,summer
2010-07-18,3,7,2010,summer
2010-07-25,4,7,2010,summer
2010-08-01,2,8,2010,summer
2010-08-08,1,8,2010,summer
2010-08-15,1,8,2010,summer
2010-08-22,2,8,2010,summer
2010-08-29,0,8,2010,summer
2010-09-05,4,9,2010,fall
2010-09-12,3,9,2010,fall
2010-09-19,1,9,2010,fall
2010-09-26,3,9,2010,fall
2010-10-03,5,10,2010,fall
2010-10-10,4,10,2010,fall
2010-10-17,3,10,2010,fall
2010-10-24,5,10,2010,fall
2010-10-31,3,10,2010,fall
2010-11-07,3,11,2010,fall
2010-11-14,2,11,2010,fall
2010-11-21,3,11,2010,fall
2010-11-28,5,11,2010,fall
2010-12-05,7,12,2010,winter
2010-12-12,7,12,2010,winter
2010-12-19,3,12,2010,winter
2010-12-26,2,12,2010,winter
2011-01-02,3,1,2011,winter
2011-01-09,6,1,2011,winter
2011-01-16,6,1,2011,winter
2011-01-23,5,1,2011,winter
2011-01-30,6,1,2011,winter
2011-02-06,6,2,2011,winter
2011-02-13,7,2,2011,winter
2011-02-20,3,2,2011,winter
2011-02-27,6,2,2011,winter
2011-03-06,6,3,2011,spring
2011-03-13,5,3,2011,spring
2011-03-20,3,3,2011,spring
2011-03-27,4,3,2011,spring
2011-04-03,1,4,2011,spring
2011-04-10,2,4,2011,spring
2011-04-17,3,4,2011,spring
2011-04-24,6,4,2011,spring
2011-05-01,6,5,2011,spring
2011-05-08,4,5,2011,spring
2011-05-15,2,5,2011,spring
2011-05-22,5,5,2011,spring
2011-05-29,5,5,2011,spring
2011-06-05,1,6,2011,summer
2011-06-12,1,6,2011,summer
2011-06-19,1,6,2011,summer
2011-06-26,5,6,2011,summer
2011-07-03,1,7,2011,summer
2011-07-10,0,7,2011,summer
2011-07-17,0,7,2011,summer
2011-07-24,1,7,2011,summer
2011-07-31,4,7,2011,summer
2011-08-07,3,8,2011,summer
2011-08-14,3,8,2011,summer
2011-08-21,3,8,2011,summer
2011-08-28,2,8,2011,summer
2011-09-04,3,9,2011,fall
2011-09-11,3,9,2011,fall
2011-09-18,3,9,2011,fall
2011-09-25,3,9,2011,fall
2011-10-02,5,10,2011,fall
2011-10-09,1,10,2011,fall
2011-10-16,5,10,2011,fall
2011-10-23,3,10,2011,fall
2011-10-30,2,10,2011,fall
2011-11-06,1,11,2011,fall
2011-11-13,2,11,2011,fall
2011-11-20,2,11,2011,fall
2011-11-27,4,11,2011,fall
2011-12-04,6,12,2011,winter
2011-12-11,4,12,2011,winter
2011-12-18,5,12,2011,winter
2011-12-25,4,12,2011,winter
2012-01-01,6,1,2012,winter
2012-01-08,2,1,2012,winter
2012-01-15,4,1,2012,winter
2012-01-22,5,1,2012,winter
2012-01-29,7,1,2012,winter
2012-02-05,1,2,2012,winter
2012-02-12,4,2,2012,winter
2012-02-19,6,2,2012,winter
2012-02-26,5,2,2012,winter
2012-03-04,5,3,2012,spring
2012-03-11,2,3,2012,spring
2012-03-18,3,3,2012,spring
2012-03-25,2,3,2012,spring
2012-04-01,2,4,2012,spring
2012-04-08,1,4,2012,spring
2012-04-15,4,4,2012,spring
2012-04-22,4,4,2012,spring
2012-04-29,2,4,2012,spring
2012-05-06,4,5,2012,spring
2012-05-13,5,5,2012,spring
2012-05-20,1,5,2012,spring
2012-05-27,1,5,2012,spring
2012-06-03,5,6,2012,summer
2012-06-10,2,6,2012,summer
2012-06-17,3,6,2012,summer
2012-06-24,2,6,2012,summer
2012-07-01,0,7,2012,summer
2012-07-08,2,7,2012,summer
2012-07-15,1,7,2012,summer
2012-07-22,2,7,2012,summer
2012-07-29,3,7,2012,summer
2012-08-05,2,8,2012,summer
2012-08-12,4,8,2012,summer
2012-08-19,3,8,2012,summer
2012-08-26,0,8,2012,summer
2012-09-02,1,9,2012,fall
2012-09-09,4,9,2012,fall
2012-09-16,1,9,2012,fall
2012-09-23,5,9,2012,fall
2012-09-30,2,9,2012,fall
2012-10-07,3,10,2012,fall
2012-10-14,5,10,2012,fall
2012-10-21,6,10,2012,fall
2012-10-28,6,10,2012,fall
2012-11-04,6,11,2012,fall
2012-11-11,0,11,2012,fall
2012-11-18,1,11,2012,fall
2012-11-25,4,11,2012,fall
2012-12-02,3,12,2012,winter
2012-12-09,5,12,2012,winter
2012-12-16,4,12,2012,winter
2012-12-23,4,12,2012,winter
2012-12-30,5,12,2012,winter
2013-01-06,3,1,2013,winter
2013-01-13,4,1,2013,winter
2013-01-20,2,1,2013,winter
2013-01-27,6,1,2013,winter
2013-02-03,6,2,2013,winter
2013-02-10,6,2,2013,winter
2013-02-17,5,2,2013,winter
2013-02-24,7,2,2013,winter
2013-03-03,4,3,2013,spring
2013-03-10,2,3,2013,spring
2013-03-17,6,3,2013,spring
2013-03-24,5,3,2013,spring
2013-03-31,3,3,2013,spring
2013-04-07,2,4,2013,spring
2013-04-14,6,4,2013,spring
2013-04-21,5,4,2013,spring
2013-04-28,3,4,2013,spring
2013-05-05,0,5,2013,spring
2013-05-12,4,5,2013,spring
2013-05-19,3,5,2013,spring
2013-05-26,2,5,2013,spring
2013-06-02,7,6,2013,summer
2013-06-09,1,6,2013,summer
2013-06-16,5,6,2013,summer
2013-06-23,2,6,2013,summer
2013-06-30,2,6,2013,summer
2013-07-07,5,7,2013,summer
2013-07-14,4,7,2013,summer
2013-07-21,2,7,2013,summer
2013-07-28,3,7,2013,summer
2013-08-04,4,8,2013,summer
2013-08-11,1,8,2013,summer
2013-08-18,0,8,2013,summer
2013-08-25,1,8,2013,summer
2013-09-01,3,9,2013,fall
2013-09-08,2,9,2013,fall
2013-09-15,3,9,2013,fall
2013-09-22,2,9,2013,fall
2013-09-29,1,9,2013,fall
2013-10-06,5,10,2013,fall
2013-10-13,2,10,2013,fall
2013-10-20,5,10,2013,fall
2013-10-27,5,10,2013,fall
2013-11-03,3,11,2013,fall
2013-11-10,4,11,2013,fall
2013-11-17,4,11,2013,fall
2013-11-24,5,11,2013,fall
2013-12-01,4,12,2013,winter
2013-12-08,3,12,2013,winter
2013-12-15,6,12,2013,winter
2013-12-22,7,12,2013,winter
2013-12-29,5,12,2013,winter
2014-01-05,6,1,2014,winter
2014-01-12,4,1,2014,winter
2014-01-19,6,1,2014,winter
2014-01-26,5,1,2014,winter
2014-02-02,4,2,2014,winter
2014-02-09,6,2,2014,winter
2014-02-16,3,2,2014,winter
2014-02-23,5,2,2014,winter
2014-03-02,5,3,2014,spring
2014-03-09,1,3,2014,spring
2014-03-16,2,3,2014,spring
2014-03-23,4,3,2014,spring
2014-03-30,4,3,2014,spring
2014-04-06,1,4,2014,spring
2014-04-13,4,4,2014,spring
2014-04-20,3,4,2014,spring
2014-04-27,4,4,2014,spring
2014-05-04,5,5,2014,spring
2014-05-11,1,5,2014,spring
2014-05-18,5,5,2014,spring
2014-05-25,2,5,2014,spring
2014-06-01,2,6,2014,summer
2014-06-08,3,6,2014,summer
2014-06-15,3,6,2014,summer
2014-06-22,1,6,2014,summer
2014-06-29,4,6,2014,summer
2014-07-06,4,7,2014,summer
2014-07-13,3,7,2014,summer
2014-07-20,5,7,2014,summer
2014-07-27,2,7,2014,summer
2014-08-03,3,8,2014,summer
2014-08-10,1,8,2014,summer
2014-08-17,4,8,2014,summer
2014-08-24,3,8,2014,summer
2014-08-31,1,8,2014,summer
2014-09-07,4,9,2014,fall
2014-09-14,4,9,2014,fall
2014-09-21,3,9,2014,fall
2014-09-28,0,9,2014,fall
2014-10-05,4,10,2014,fall
2014-10-12,3,10,2014,fall
2014-10-19,7,10,2014,fall
2014-10-26,3,10,2014,fall
2014-11-02,3,11,2014,fall
2014-11-09,3,11,2014,fall
2014-11-16,3,11,2014,fall
2014-11-23,5,11,2014,fall
2014-11-30,4,11,2014,fall
2014-12-07,1,12,2014,winter
2014-12-14,0,12,2014,winter
2014-12-21,3,12,2014,winter
2014-12-28,3,12,2014,winter
2015-01-04,3,1,2015,winter
2015-01-11,6,1,2015,winter
2015-01-18,3,1,2015,winter
2015-01-25,2,1,2015,winter
2015-02-01,3,2,2015,winter
2015-02-08,4,2,2015,winter
2015-02-15,4,2,2015,winter
2015-02-22,5,2,2015,winter
2015-03-01,4,3,2015,spring
2015-03-08,3,3,2015,spring
2015-03-15,1,3,2015,spring
2015-03-22,3,3,2015,spring
2015-03-29,4,3,2015,spring
2015-04-05,5,4,2015,spring
2015-04-12,4,4,2015,spring
2015-04-19,2,4,2015,spring
2015-04-26,3,4,2015,spring
2015-05-03,2,5,2015,spring
2015-05-10,3,5,2015,spring
2015-05-17,3,5,2015,spring
2015-05-24,0,5,2015,spring
2015-05-31,4,5,2015,spring
2015-06-07,1,6,2015,summer
2015-06-14,3,6,2015,summer
2015-06-21,2,6,2015,summer
2015-06-28,4,6,2015,summer
2015-07-05,2,7,2015,summer
2015-07-12,2,7,2015,summer
2015-07-19,3,7,2015,summer
2015-07-26,0,7,2015,summer
2015-08-02,0,8,2015,summer
2015-08-09,2,8,2015,summer
2015-08-16,2,8,2015,summer
2015-08-23,3,8,2015,summer
2015-08-30,2,8,2015,summer
2015-09-06,2,9,2015,fall
2015-09-13,3,9,2015,fall
2015-09-20,1,9,2015,fall
2015-09-27,0,9,2015,fall
2015-10-04,2,10,2015,fall
2015-10-11,2,10,2015,fall
2015-10-18,3,10,2015,fall
2015-10-25,4,10,2015,fall
2015-11-01,4,11,2015,fall
2015-11-08,3,11,2015,fall
2015-11-15,4,11,2015,fall
2015-11-22,4,11,2015,fall
2015-11-29,1,11,2015,fall
2015-12-06,3,12,2015,winter
2015-12-13,2,12,2015,winter
2015-12-20,4,12,2015,winter
2015-12-27,5,12,2015,winter
2016-01-03,5,1,2016,winter
2016-01-10,4,1,2016,winter
2016-01-17,6,1,2016,winter
2016-01-24,3,1,2016,winter
2016-01-31,7,1,2016,winter
2016-02-07,4,2,2016,winter
2016-02-14,7,2,2016,winter
2016-02-21,2,2,2016,winter
2016-02-28,4,2,2016,winter
2016-03-06,5,3,2016,spring
2016-03-13,3,3,2016,spring
2016-03-20,4,3,2016,spring
2016-03-27,5,3,2016,spring
2016-04-03,6,4,2016,spring
2016-04-10,3,4,2016,spring
2016-04-17,2,4,2016,spring
2016-04-24,1,4,2016,spring
2016-05-01,2,5,2016,spring
2016-05-08,1,5,2016,spring
2016-05-15,3,5,2016,spring
2016-05-22,1,5,2016,spring
2016-05-29,2,5,2016,spring
2016-06-05,3,6,2016,summer
2016-06-12,4,6,2016,summer
2016-06-19,2,6,2016,summer
2016-06-26,0,6,2016,summer
2016-07-03,3,7,2016,summer
2016-07-10,2,7,2016,summer
2016-07-17,2,7,2016,summer
2016-07-24,1,7,2016,summer
2016-07-31,4,7,2016,summer
2016-08-07,0,8,2016,summer
2016-08-14,3,8,2016,summer
2016-08-21,3,8,2016,summer
2016-08-28,3,8,2016,summer
2016-09-04,0,9,2016,fall
2016-09-11,3,9,2016,fall
2016-09-18,3,9,2016,fall
2016-09-25,0,9,2016,fall
2016-10-02,5,10,2016,fall
2016-10-09,1,10,2016,fall
2016-10-16,3,10,2016,fall
2016-10-23,4,10,2016,fall
2016-10-30,5,10,2016,fall
2016-11-06,2,11,2016,fall
2016-11-13,1,11,2016,fall
2016-11-20,3,11,2016,fall
2016-11-27,4,11,2016,fall
2016-12-04,7,12,2016,winter
2016-12-11,5,12,2016,winter
2016-12-18,7,12,2016,winter
2016-12-25,2,12,2016,winter
2017-01-01,4,1,2017,winter
2017-01-08,6,1,2017,winter
2017-01-15,4,1,2017,winter
2017-01-22,4,1,2017,winter
2017-01-29,6,1,2017,winter
2017-02-05,6,2,2017,winter
2017-02-12,6,2,2017,winter
2017-02-19,4,2,2017,winter
2017-02-26,4,2,2017,winter
2017-03-05,4,3,2017,spring
2017-03-12,4,3,2017,spring
2017-03-19,6,3,2017,spring
2017-03-26,5,3,2017,spring
2017-04-02,3,4,2017,spring
2017-04-09,5,4,2017,spring
2017-04-16,5,4,2017,spring
2017-04-23,3,4,2017,spring
2017-04-30,3,4,2017,spring
2017-05-07,6,5,2017,spring
2017-05-14,4,5,2017,spring
2017-05-21,3,5,2017,spring
2017-05-28,4,5,2017,spring
2017-06-04,2,6,2017,summer
2017-06-11,1,6,2017,summer
2017-06-18,2,6,2017,summer
2017-06-25,6,6,2017,summer
2017-07-02,5,7,2017,summer
2017-07-09,1,7,2017,summer
2017-07-16,3,7,2017,summer
2017-07-23,1,7,2017,summer
